ATL HAWKS, 0022200958, Mar 4, @ MIA, 117 - 109, Miami-Dade Arena, Week 20
ATL HAWKS, 0022200974, Mar 6, @ MIA, 130 - 128, Miami-Dade Arena, Week 21
ATL HAWKS, 0022200985, Mar 8, @ WAS, 120 - 122, Capital One Arena, Week 21
ATL HAWKS, 0022200999, Mar 10, @ WAS, 107 - 114, Capital One Arena, Week 21
ATL HAWKS, 0022201008, Mar 11, vs BOS, 134 - 125, State Farm Arena, Week 21
ATL HAWKS, 0022201021, Mar 13, vs MIN, 136 - 115, State Farm Arena, Week 22
ATL HAWKS, 0022201048, Mar 17, vs GSW, 119 - 127, State Farm Arena, Week 22
ATL HAWKS, 0022201065, Mar 19, @ SAS, 126 - 118, AT&T Center, Week 22
ATL HAWKS, 0022201078, Mar 21, vs DET, 107 - 129, State Farm Arena, Week 23
ATL HAWKS, 0022201090, Mar 22, @ MIN, 125 - 124, Target Center, Week 23
ATL HAWKS, 0022201107, Mar 25, vs IND, 130 - 143, State Farm Arena, Week 23
ATL HAWKS, 0022201115, Mar 26, vs MEM, 123 - 119, State Farm Arena, Week 23
ATL HAWKS, 0022201131, Mar 28, vs CLE, 118 - 120, State Farm Arena, Week 24
ATL HAWKS, 0022201153, Mar 31, @ BKN, 124 - 107, Barclays Center, Week 24
ATL HAWKS, 0022201167, Apr 2, vs DAL, 130 - 132, State Farm Arena, Week 24
ATL HAWKS, 0022201182, Apr 4, @ CHI, 105 - 123, United Center, Week 25
ATL HAWKS, 0022201191, Apr 5, vs WAS, 116 - 134, State Farm Arena, Week 25
ATL HAWKS, 0022201205, Apr 7, vs PHI, 136 - 131, State Farm Arena, Week 25
ATL HAWKS, 0022201216, Apr 9, @ BOS, 120 - 114, TD Garden, Week 25
ATL HAWKS, 0052200101, Apr 11, @ MIA, 105 - 116, Kaseya Center, None
ATL HAWKS, 0042200111, Apr 15, @ BOS, 112 - 99, TD Garden, BOS leads 1-0
ATL HAWKS, 0042200112, Apr 18, @ BOS, 119 - 106, TD Garden, BOS leads 2-0
ATL HAWKS, 0042200113, Apr 21, vs BOS, 122 - 130, State Farm Arena, BOS leads 2-1
ATL HAWKS, 0042200114, Apr 23, vs BOS, 129 - 121, State Farm Arena, BOS leads 3-1
ATL HAWKS, 0042200115, Apr 25, @ BOS, 117 - 119, TD Garden, BOS leads 3-2
ATL HAWKS, 0042200116, Apr 27, vs BOS, 128 - 120, State Farm Arena, BOS wins 4-2
BOS CELTICS, 0012200005, Oct 2, vs CHA, 93 - 134, TD Garden, Preseason
BOS CELTICS, 0012200020, Oct 5, vs TOR, 125 - 119, TD Garden, Preseason
BOS CELTICS, 0012200029, Oct 7, @ CHA, 103 - 112, Greensboro Coliseum, Preseason
BOS CELTICS, 0012200064, Oct 14, @ TOR, 137 - 134, Bell Centre, Preseason
BOS CELTICS, 0022200001, Oct 18, vs PHI, 117 - 126, TD Garden, Week 1
BOS CELTICS, 0022200022, Oct 21, @ MIA, 104 - 111, FTX Arena, Week 1
BOS CELTICS, 0022200030, Oct 22, @ ORL, 120 - 126, Amway Center, Week 1
BOS CELTICS, 0022200047, Oct 24, @ CHI, 120 - 102, United Center, Week 2
BOS CELTICS, 0022200072, Oct 28, vs CLE, 132 - 123, TD Garden, Week 2
BOS CELTICS, 0022200089, Oct 30, vs WAS, 94 - 112, TD Garden, Week 2
BOS CELTICS, 0022200107, Nov 2, @ CLE, 114 - 113, Rocket Mortgage FieldHouse, Week 3
BOS CELTICS, 0022200124, Nov 4, vs CHI, 119 - 123, TD Garden, Week 3
BOS CELTICS, 0022200135, Nov 5, @ NYK, 118 - 133, Madison Square Garden, Week 3
BOS CELTICS, 0022200152, Nov 7, @ MEM, 106 - 109, FedExForum, Week 4
