Home, ATL Hawks, 2022-10-06T12:00:00Z (ET), 2022-10-06T16:00:00Z (UTC), 240:00, 47, 86, 0.547, 7, 22, 0.318, 22, 28, 0.786, 3, 36, 39, 23, 4, 2, 7, 17, 123, 10
Away, MIL Bucks, 2022-10-06T12:00:00Z (ET), 2022-10-06T16:00:00Z (UTC), 240:00, 41, 97, 0.423, 14, 40, 0.35, 17, 21, 0.81, 17, 35, 52, 22, 4, 1, 16, 22, 113, -10
